var_index,tau_id,robot_id,target_bin,expected_gain,lp_fraction,p_target_bin_matches_material,cycle_time_s,material_true_M,true_bin,shape_F,condition_K,x_m,y_m,time_to_exit_s,best_grasp_G_star,selected_by_lp_rounding,selected_by_greedy
0,tau_00000_00,R2,PET,0.35907281096991756,0.45124716553287986,0.7934808799404307,1.1025,PET,PET,box,clean,1.1326917055482904,0.08103647878035647,2.695279135317811,0.6699059013134168,0,0
1,tau_00000_00,R2,cardboard,-0.35808384536305843,0.0,0.08336752865466775,1.1025,PET,PET,box,clean,1.1326917055482904,0.08103647878035647,2.695279135317811,0.6699059013134168,0,0
2,tau_00000_00,R2,metal,-0.34922094251635766,0.0,0.023794037231581713,1.1025,PET,PET,box,clean,1.1326917055482904,0.08103647878035647,2.695279135317811,0.6699059013134168,0,0
3,tau_00000_00,R2,glass,-0.42894515746411455,0.0,0.017807197663178183,1.1025,PET,PET,box,clean,1.1326917055482904,0.08103647878035647,2.695279135317811,0.6699059013134168,0,0
4,tau_00000_00,R2,organic,-0.280512462415072,0.0,0.006895625293555479,1.1025,PET,PET,box,clean,1.1326917055482904,0.08103647878035647,2.695279135317811,0.6699059013134168,0,0
5,tau_00000_00,R2,hazard,-0.060637500000000004,0.0,0.010972368278956927,1.1025,PET,PET,box,clean,1.1326917055482904,0.08103647878035647,2.695279135317811,0.6699059013134168,0,0
6,tau_00000_01,R1,PET,-0.39740988605232574,0.0,0.014155956078388803,1.05,cardboard,cardboard,box,occluded,0.613734931485061,0.00470744070727902,4.763485116375705,0.5653503011753085,0,0
7,tau_00000_01,R1,cardboard,-0.14305167531247248,0.0,0.6063195565050465,1.05,cardboard,cardboard,box,occluded,0.613734931485061,0.00470744070727902,4.763485116375705,0.5653503011753085,0,0
8,tau_00000_01,R1,metal,-0.33500359266550483,0.0,0.05951225533637875,1.05,cardboard,cardboard,box,occluded,0.613734931485061,0.00470744070727902,4.763485116375705,0.5653503011753085,0,0
9,tau_00000_01,R1,glass,-0.3873955980478984,0.0,0.10048183929939604,1.05,cardboard,cardboard,box,occluded,0.613734931485061,0.00470744070727902,4.763485116375705,0.5653503011753085,0,0
10,tau_00000_01,R1,organic,-0.28587127920358674,0.0,0.02551718069326413,1.05,cardboard,cardboard,box,occluded,0.613734931485061,0.00470744070727902,4.763485116375705,0.5653503011753085,0,0
11,tau_00000_01,R1,hazard,-0.10895,0.0,0.04393980022688074,1.05,cardboard,cardboard,box,occluded,0.613734931485061,0.00470744070727902,4.763485116375705,0.5653503011753085,0,0
12,tau_00000_01,R2,PET,-0.38933760174866616,0.0,0.014155956078388803,1.1025,cardboard,cardboard,box,occluded,0.613734931485061,0.00470744070727902,4.763485116375705,0.5653503011753085,0,0
13,tau_00000_01,R2,cardboard,-0.14465592715112222,0.0,0.6063195565050465,1.1025,cardboard,cardboard,box,occluded,0.613734931485061,0.00470744070727902,4.763485116375705,0.5653503011753085,0,0
14,tau_00000_01,R2,metal,-0.3293097925382879,0.0,0.05951225533637875,1.1025,cardboard,cardboard,box,occluded,0.613734931485061,0.00470744070727902,4.763485116375705,0.5653503011753085,0,0
