step,elapsed_s,policy,n_visible_tau,n_actions,lighting_U1,conveyor_speed_V_mps,selected_action,reward,sorted_item,correct_bin,contamination_event,human_top_action,disagrees_with_human_top,correction_needed_proxy,selected_policy_prob,human_prior_prob_selected,true_q_selected,bad_q_selected,oracle_noise_q_selected,degraded_q_selected,cum_reward,recovered_value_per_min,cum_sorted,cum_correct,correct_bin_rate,cum_corrections_proxy,rolling_reward_100
0,1.6,greedy_bad_Q,5,29,dim,0.25,R2:pick(tau_00000_03)->PET,0.6609767145552814,True,True,False,R2:pick(tau_00000_03)->PET,False,False,1.0,0.5246647268463178,0.6609767145552814,1.419004530805381,0.5940793356101751,1.1023853021995231,0.6609767145552814,24.78662679582305,1,1,1.0,0,
0,1.6,imitation_muH,5,29,dim,0.25,R2:pick(tau_00000_03)->PET,0.6609767145552814,True,True,False,R2:pick(tau_00000_03)->PET,False,False,0.5246647268463178,0.5246647268463178,0.6609767145552814,1.419004530805381,0.5940793356101751,1.1023853021995231,0.6609767145552814,24.78662679582305,1,1,1.0,0,
0,1.6,KL_bad_Q,5,29,dim,0.25,R2:pick(tau_00000_03)->PET,0.6609767145552814,True,True,False,R2:pick(tau_00000_03)->PET,False,False,0.6513948720611771,0.5246647268463178,0.6609767145552814,1.419004530805381,0.5940793356101751,1.1023853021995231,0.6609767145552814,24.78662679582305,1,1,1.0,0,
0,1.6,KL_oracle_noise_Q,5,29,dim,0.25,R2:pick(tau_00000_03)->PET,0.6609767145552814,True,True,False,R2:pick(tau_00000_03)->PET,False,False,0.6913706856284118,0.5246647268463178,0.6609767145552814,1.419004530805381,0.5940793356101751,1.1023853021995231,0.6609767145552814,24.78662679582305,1,1,1.0,0,
1,3.2,greedy_bad_Q,11,55,standard,0.45,R1:pick(tau_00001_01)->metal,1.5806247427169877,True,True,False,R1:pick(tau_00001_01)->metal,False,False,1.0,0.48473631969589404,1.5806247427169877,2.214000631752668,1.6133619803780141,1.6889241689064483,2.241601457272269,42.030027323855045,2,2,1.0,0,
1,3.2,imitation_muH,11,55,standard,0.45,R1:pick(tau_00001_01)->metal,1.5806247427169877,True,True,False,R1:pick(tau_00001_01)->metal,False,False,0.48473631969589404,0.48473631969589404,1.5806247427169877,2.214000631752668,1.6133619803780141,1.6889241689064483,2.241601457272269,42.030027323855045,2,2,1.0,0,
1,3.2,KL_bad_Q,11,55,standard,0.45,R1:pick(tau_00001_01)->metal,1.5806247427169877,True,True,False,R1:pick(tau_00001_01)->metal,False,False,0.5806945314453498,0.48473631969589404,1.5806247427169877,2.214000631752668,1.6133619803780141,1.6889241689064483,2.241601457272269,42.030027323855045,2,2,1.0,0,
1,3.2,KL_oracle_noise_Q,11,55,standard,0.45,R1:pick(tau_00001_01)->metal,1.5806247427169877,True,True,False,R1:pick(tau_00001_01)->metal,False,False,0.8265241471467933,0.48473631969589404,1.5806247427169877,2.214000631752668,1.6133619803780141,1.6889241689064483,2.241601457272269,42.030027323855045,2,2,1.0,0,
2,4.800000000000001,greedy_bad_Q,8,25,standard,0.65,R2:pick(tau_00002_07)->HDPE,0.39404773111546704,True,True,False,R2:pick(tau_00002_07)->glass,True,True,1.0,0.01643413448925104,0.39404773111546704,1.507907513740691,0.40367488569150584,1.2777182597010348,2.635649188387736,32.945614854846696,3,3,1.0,1,
2,4.800000000000001,imitation_muH,8,25,standard,0.65,R2:pick(tau_00002_07)->glass,-0.33702124943973527,True,False,True,R2:pick(tau_00002_07)->glass,False,False,0.3846227894467708,0.3846227894467708,-0.33702124943973527,1.1929356367514223,-0.4656241752901527,0.9084650646514334,1.9045802078325338,23.80725259790667,3,2,0.6666666666666666,0,
